ID;Loan Duration;Credit history;Purpose;Loan Amount;Savings Account;Length of Current Employment;Installment Rate as % of Income;Guarantors;Length of Current Property Residence;Age;Housing;Number of existing loans;Job;Number of dependants;foreign worker;Sex;status;Target2;Target
364;6;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;1766;Less than 100 DM;1-3 years;1;None;2;21;Rented;1;Skilled;1;Yes;male;married/widowed;1;[309, 905, 540, 436, 660, 203, 122, 752, 979, 513, 104, 47, 864, 721]
365;18;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;2473;Less than 100 DM;Unemployed;4;None;1;25;Ownership;1;Unemployed / Unskilled  - Non-Resident;1;Yes;male;single;2;[319, 143, 640, 679, 521, 385, 120, 698, 276, 866, 355, 819, 634, 614]
366;12;Existing Credits Paid Back Duly Till Now;Business;1542;Less than 100 DM;4-6 years;2;None;4;36;Ownership;1;Skilled;1;Yes;male;single;1;[162, 625, 461, 566, 799, 265, 232, 38, 119, 759, 114, 688, 803, 184]
367;18;Critical Account / Other Credits Existing at Other Bank;Used car;3850;Less than 100 DM;4-6 years;3;None;1;27;Ownership;2;Skilled;1;Yes;male;single;1;[174, 841, 442, 620, 558, 338, 31, 694, 408, 279, 248, 557, 748, 872]
368;18;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;3650;Less than 100 DM;less than 1 year;1;None;4;22;Rented;1;Skilled;1;Yes;female;divorced/separated/married;1;[296, 746, 420, 585, 655, 831, 761, 425, 926, 249, 342, 727, 707, 475]
369;36;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;3446;Less than 100 DM;more than 6 years;4;None;2;42;Ownership;1;Skilled;2;Yes;male;single;2;[822, 74, 301, 46, 392, 501, 68, 370, 164, 239, 98, 776, 882, 73]
370;18;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;3001;Less than 100 DM;4-6 years;2;None;4;40;Rented;1;Skilled;1;Yes;female;divorced/separated/married;1;[352, 100, 380, 919, 642, 648, 950, 400, 497, 786, 790, 302, 594, 121]
371;36;Existing Credits Paid Back Duly Till Now;New car;3079;No Savings Account;1-3 years;4;None;4;36;Ownership;1;Skilled;1;Yes;male;single;1;[164, 68, 98, 392, 460, 46, 239, 776, 882, 74, 822, 446, 368, 628]
372;18;Critical Account / Other Credits Existing at Other Bank;Radio/TV;6070;Less than 100 DM;more than 6 years;3;None;4;33;Ownership;2;Skilled;1;Yes;male;single;1;[676, 730, 599, 719, 863, 223, 914, 459, 666, 886, 454, 299, 19, 794]
373;10;Critical Account / Other Credits Existing at Other Bank;Furniture/Equipment;2146;Less than 100 DM;less than 1 year;1;None;3;23;Rented;2;Skilled;1;Yes;female;divorced/separated/married;1;[623, 797, 111, 633, 922, 837, 350, 221, 817, 795, 926, 10, 249, 47]
374;60;Critical Account / Other Credits Existing at Other Bank;New car;13756;No Savings Account;more than 6 years;2;None;4;63;Free Housing;1;Highly Skilled;1;Yes;male;single;1;[95, 374, 378, 788, 522, 650, 808, 44, 29, 813, 293, 728, 701, 294]
375;60;All Credits at This Bank Paid Back Duly;Used car;14782;100-500 DM;more than 6 years;3;None;4;60;Free Housing;2;Highly Skilled;1;Yes;female;divorced/separated/married;2;[95, 373, 378, 788, 522, 808, 650, 44, 29, 813, 293, 728, 701, 294]
376;48;All Credits at This Bank Paid Back Duly;Business;7685;Less than 100 DM;4-6 years;2;Guarantor;4;37;Rented;1;Skilled;1;Yes;female;divorced/separated/married;2;[685, 973, 549, 829, 657, 921, 272, 927, 5, 78, 552, 285, 563, 467]
377;18;Delay in Paying Off in the Past;Radio/TV;2320;Less than 100 DM;Unemployed;2;None;3;34;Ownership;2;Skilled;1;Yes;male;married/widowed;1;[682, 474, 710, 717, 644, 608, 166, 749, 853, 621, 464, 189, 559, 185]
378;7;Delay in Paying Off in the Past;Radio/TV;846;No Savings Account;more than 6 years;3;None;4;36;Free Housing;1;Skilled;1;Yes;male;single;1;[519, 803, 759, 681, 757, 135, 711, 566, 119, 271, 493, 473, 103, 463]
379;36;Existing Credits Paid Back Duly Till Now;New car;14318;Less than 100 DM;more than 6 years;4;None;2;57;Free Housing;1;Highly Skilled;1;Yes;male;single;2;[374, 95, 373, 788, 808, 522, 650, 44, 29, 813, 293, 728, 828, 701]
380;6;Critical Account / Other Credits Existing at Other Bank;New car;362;100-500 DM;1-3 years;4;None;4;52;Ownership;2;Unskilled - Resident;1;Yes;female;divorced/separated/married;1;[177, 200, 147, 72, 246, 84, 300, 885, 241, 209, 486, 750, 231, 680]
381;20;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;2212;No Savings Account;4-6 years;4;None;4;39;Ownership;1;Skilled;1;Yes;male;single;1;[100, 497, 786, 919, 594, 121, 742, 182, 369, 199, 648, 950, 302, 674]
382;18;Existing Credits Paid Back Duly Till Now;Used car;12976;Less than 100 DM;Unemployed;3;None;4;38;Free Housing;1;Highly Skilled;1;Yes;female;divorced/separated/married;2;[105, 205, 18, 818, 902, 653, 870, 854, 73, 87, 509, 563, 304, 501]
383;22;Existing Credits Paid Back Duly Till Now;New car;1283;No Savings Account;4-6 years;4;None;4;25;Rented;1;Skilled;1;Yes;female;divorced/separated/married;1;[504, 775, 596, 565, 475, 727, 593, 124, 724, 731, 972, 359, 570, 761]
384;12;Existing Credits Paid Back Duly Till Now;New car;1330;Less than 100 DM;less than 1 year;4;None;1;26;Ownership;1;Skilled;1;Yes;male;single;1;[510, 878, 207, 409, 329, 686, 403, 472, 490, 201, 260, 820, 89, 60]
385;30;Delay in Paying Off in the Past;Business;4272;100-500 DM;1-3 years;2;None;2;26;Ownership;2;Unskilled - Resident;1;Yes;male;single;1;[202, 477, 670, 311, 860, 739, 748, 675, 31, 753, 142, 338, 43, 558]
386;18;Critical Account / Other Credits Existing at Other Bank;Radio/TV;2238;Less than 100 DM;1-3 years;2;None;1;25;Ownership;2;Skilled;1;Yes;female;divorced/separated/married;1;[276, 319, 640, 679, 834, 480, 698, 690, 86, 819, 751, 364, 521, 691]
387;18;Existing Credits Paid Back Duly Till Now;Radio/TV;1126;No Savings Account;less than 1 year;4;None;2;21;Rented;1;Skilled;1;Yes;female;divorced/separated/married;1;[926, 831, 707, 221, 985, 761, 10, 249, 372, 797, 809, 111, 197, 746]
388;18;Critical Account / Other Credits Existing at Other Bank;Furniture/Equipment;7374;Less than 100 DM;Unemployed;4;None;4;40;Ownership;2;Highly Skilled;1;Yes;male;single;1;[791, 106, 659, 880, 971, 292, 268, 48, 520, 996, 42, 939, 199, 833]
389;15;Critical Account / Other Credits Existing at Other Bank;Business;2326;500-1000 DM;1-3 years;2;None;4;27;Ownership;1;Skilled;1;Yes;male;single;1;[857, 401, 161, 331, 861, 920, 483, 556, 257, 526, 129, 819, 894, 858]
390;9;Existing Credits Paid Back Duly Till Now;Business;1449;Less than 100 DM;4-6 years;3;None;2;27;Ownership;2;Skilled;1;Yes;female;divorced/separated/married;1;[458, 936, 576, 492, 913, 196, 60, 562, 358, 647, 451, 792, 171, 673]
391;18;Existing Credits Paid Back Duly Till Now;New car;1820;Less than 100 DM;1-3 years;2;None;2;30;Ownership;1;Highly Skilled;1;Yes;male;married/widowed;1;[982, 861, 418, 825, 401, 240, 88, 508, 331, 323, 556, 161, 847, 858]
392;12;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;983;More than 1000 DM;less than 1 year;1;None;4;19;Rented;1;Unskilled - Resident;1;Yes;female;divorced/separated/married;1;[155, 865, 633, 350, 797, 795, 837, 513, 47, 922, 249, 111, 752, 372]
393;36;Existing Credits Paid Back Duly Till Now;New car;3249;Less than 100 DM;4-6 years;2;None;4;39;Free Housing;1;Highly Skilled;2;Yes;male;single;1;[46, 68, 74, 370, 164, 98, 822, 368, 239, 776, 460, 882, 301, 628]
394;6;Critical Account / Other Credits Existing at Other Bank;Radio/TV;1957;Less than 100 DM;4-6 years;1;None;4;31;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;1;[601, 451, 562, 196, 960, 110, 193, 492, 66, 937, 499, 222, 358, 936]
395;9;Critical Account / Other Credits Existing at Other Bank;Furniture/Equipment;2406;Less than 100 DM;Unemployed;2;None;3;31;Ownership;1;Highly Skilled;1;Yes;male;single;1;[34, 348, 128, 210, 462, 720, 909, 663, 159, 595, 307, 638, 244, 92]
396;39;Delay in Paying Off in the Past;Education;11760;100-500 DM;4-6 years;2;None;3;32;Rented;1;Skilled;1;Yes;male;single;1;[274, 744, 832, 450, 915, 63, 684, 714, 895, 887, 637, 57, 70, 333]
397;12;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;2578;Less than 100 DM;Unemployed;3;None;4;55;Free Housing;1;Highly Skilled;1;Yes;female;divorced/separated/married;1;[967, 448, 94, 584, 754, 680, 91, 429, 885, 300, 246, 90, 209, 263]
398;36;Critical Account / Other Credits Existing at Other Bank;Furniture/Equipment;2348;Less than 100 DM;1-3 years;3;None;2;46;Ownership;2;Skilled;1;Yes;male;married/widowed;1;[211, 958, 317, 683, 669, 214, 956, 80, 881, 65, 978, 833, 980, 939]
399;12;Existing Credits Paid Back Duly Till Now;New car;1223;Less than 100 DM;more than 6 years;1;None;1;46;Rented;2;Skilled;1;Yes;male;divorced/separated;2;[823, 925, 157, 422, 726, 619, 835, 20, 635, 485, 354, 303, 2, 581]
400;24;Critical Account / Other Credits Existing at Other Bank;Radio/TV;1516;More than 1000 DM;1-3 years;4;None;1;43;Ownership;2;Unskilled - Resident;1;Yes;female;divorced/separated/married;1;[298, 948, 631, 899, 940, 652, 404, 539, 668, 867, 479, 693, 908, 712]
401;18;Existing Credits Paid Back Duly Till Now;Radio/TV;1473;Less than 100 DM;less than 1 year;3;None;4;39;Ownership;1;Skilled;1;Yes;male;married/widowed;1;[184, 361, 265, 352, 947, 876, 790, 37, 625, 30, 681, 162, 457, 365]
402;18;Critical Account / Other Credits Existing at Other Bank;Business;1887;No Savings Account;1-3 years;4;None;4;28;Ownership;2;Skilled;1;Yes;male;married/widowed;1;[861, 388, 331, 894, 390, 161, 526, 556, 857, 858, 323, 825, 483, 421]
403;24;Delay in Paying Off in the Past;Business;8648;Less than 100 DM;less than 1 year;2;None;2;27;Ownership;2;Skilled;1;Yes;male;single;2;[136, 236, 17, 736, 525, 771, 431, 496, 645, 763, 517, 983, 113, 131]
404;14;Delay in Paying Off in the Past;New car;802;Less than 100 DM;1-3 years;4;None;2;27;Ownership;2;Unskilled - Resident;1;Yes;male;single;1;[472, 201, 878, 383, 510, 574, 207, 329, 409, 313, 820, 686, 260, 490]
405;18;Delay in Paying Off in the Past;New car;2899;No Savings Account;more than 6 years;4;None;4;43;Ownership;1;Skilled;2;Yes;male;single;1;[298, 545, 899, 830, 977, 652, 399, 901, 591, 948, 674, 851, 406, 884]
406;24;Existing Credits Paid Back Duly Till Now;Radio/TV;2039;Less than 100 DM;less than 1 year;1;None;1;22;Ownership;1;Skilled;1;Yes;male;married/widowed;2;[229, 743, 495, 605, 966, 802, 523, 355, 79, 634, 312, 410, 64, 143]
407;24;Critical Account / Other Credits Existing at Other Bank;Used car;2197;No Savings Account;4-6 years;4;None;4;43;Ownership;2;Skilled;2;Yes;male;single;1;[851, 890, 884, 901, 830, 833, 977, 545, 80, 591, 674, 404, 42, 958]
408;15;Existing Credits Paid Back Duly Till Now;Radio/TV;1053;Less than 100 DM;less than 1 year;4;None;2;27;Ownership;1;Skilled;1;No;male;married/widowed;1;[930, 906, 613, 859, 290, 806, 117, 850, 140, 173, 351, 696, 24, 314]
409;24;Existing Credits Paid Back Duly Till Now;Radio/TV;3235;500-1000 DM;more than 6 years;3;None;2;26;Ownership;1;Highly Skilled;1;Yes;male;divorced/separated;1;[694, 279, 142, 558, 174, 338, 366, 31, 620, 235, 965, 636, 692, 841]
410;12;Critical Account / Other Credits Existing at Other Bank;New car;939;500-1000 DM;4-6 years;4;None;2;28;Ownership;3;Skilled;1;Yes;male;married/widowed;2;[686, 207, 383, 878, 89, 627, 510, 553, 490, 329, 403, 472, 499, 260]
411;24;Existing Credits Paid Back Duly Till Now;Radio/TV;1967;Less than 100 DM;more than 6 years;4;None;4;20;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;1;[144, 258, 523, 802, 842, 634, 405, 614, 120, 470, 495, 229, 521, 143]
412;33;Critical Account / Other Credits Existing at Other Bank;Used car;7253;Less than 100 DM;4-6 years;3;None;2;35;Ownership;2;Highly Skilled;1;Yes;male;single;1;[888, 879, 266, 415, 868, 778, 893, 571, 7, 5, 628, 910, 870, 776]
413;12;Critical Account / Other Credits Existing at Other Bank;Business;2292;Less than 100 DM;Unemployed;4;None;2;42;Ownership;2;Highly Skilled;1;Yes;male;single;2;[929, 176, 335, 867, 693, 626, 518, 150, 21, 206, 345, 943, 933, 668]
414;10;Existing Credits Paid Back Duly Till Now;New car;1597;500-1000 DM;1-3 years;3;None;2;40;Rented;1;Unskilled - Resident;2;No;male;single;1;[892, 151, 494, 325, 488, 264, 516, 897, 515, 247, 941, 297, 871, 156]
415;24;Existing Credits Paid Back Duly Till Now;New car;1381;No Savings Account;1-3 years;4;None;2;35;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;2;[327, 577, 15, 419, 602, 172, 862, 755, 433, 535, 855, 729, 974, 423]
416;36;Critical Account / Other Credits Existing at Other Bank;Used car;5842;Less than 100 DM;more than 6 years;2;None;2;35;Ownership;2;Skilled;2;Yes;male;single;1;[893, 888, 266, 778, 411, 879, 868, 571, 7, 628, 910, 776, 870, 76]
417;12;Existing Credits Paid Back Duly Till Now;New car;2579;Less than 100 DM;less than 1 year;4;None;1;33;Ownership;1;Unskilled - Resident;2;Yes;male;single;2;[506, 244, 991, 461, 799, 452, 688, 362, 114, 92, 232, 138, 307, 238]
418;18;Delay in Paying Off in the Past;Education;8471;No Savings Account;1-3 years;1;None;2;23;Rented;2;Skilled;1;Yes;female;divorced/separated/married;1;[804, 43, 739, 675, 208, 311, 477, 306, 860, 340, 748, 153, 202, 572]
419;21;Existing Credits Paid Back Duly Till Now;New car;2782;500-1000 DM;4-6 years;1;None;2;31;Ownership;1;Highly Skilled;1;Yes;female;divorced/separated/married;1;[240, 88, 982, 390, 235, 825, 692, 694, 50, 508, 323, 442, 279, 984]
420;18;Existing Credits Paid Back Duly Till Now;New car;1042;No Savings Account;1-3 years;4;None;2;33;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;2;[755, 15, 414, 327, 577, 602, 855, 166, 423, 172, 535, 433, 321, 853]
421;15;Existing Credits Paid Back Duly Till Now;New car;3186;More than 1000 DM;4-6 years;2;None;3;20;Rented;1;Skilled;1;Yes;female;divorced/separated/married;1;[585, 746, 865, 249, 296, 367, 831, 425, 797, 391, 926, 155, 655, 633]
422;12;Existing Credits Paid Back Duly Till Now;Used car;2028;No Savings Account;1-3 years;4;None;2;30;Ownership;1;Skilled;1;Yes;male;single;1;[874, 916, 689, 894, 857, 129, 441, 526, 962, 49, 125, 185, 401, 858]
423;12;Critical Account / Other Credits Existing at Other Bank;New car;958;Less than 100 DM;4-6 years;2;None;3;47;Ownership;2;Unskilled - Resident;2;Yes;male;single;1;[823, 619, 485, 2, 20, 581, 303, 835, 398, 635, 925, 356, 726, 354]
424;21;Delay in Paying Off in the Past;Furniture/Equipment;1591;100-500 DM;4-6 years;4;None;3;34;Ownership;2;Highly Skilled;1;Yes;male;single;1;[535, 433, 602, 299, 577, 172, 169, 321, 855, 327, 918, 740, 862, 15]
425;12;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;2762;No Savings Account;more than 6 years;1;None;2;25;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;2;[171, 647, 102, 439, 661, 435, 821, 934, 722, 434, 254, 52, 389, 708]
426;18;Existing Credits Paid Back Duly Till Now;Used car;2779;Less than 100 DM;1-3 years;1;None;3;21;Rented;1;Skilled;1;Yes;male;married/widowed;1;[655, 992, 342, 585, 420, 746, 865, 296, 367, 280, 249, 82, 104, 155]
427;28;Critical Account / Other Credits Existing at Other Bank;Radio/TV;2743;Less than 100 DM;more than 6 years;4;None;2;29;Ownership;2;Skilled;1;Yes;male;single;1;[935, 40, 959, 946, 794, 692, 949, 19, 50, 235, 279, 766, 914, 984]
428;18;Critical Account / Other Credits Existing at Other Bank;Radio/TV;1149;More than 1000 DM;1-3 years;4;None;3;46;Ownership;2;Skilled;1;Yes;male;single;1;[149, 891, 609, 588, 81, 354, 726, 479, 631, 484, 635, 908, 925, 133]
429;9;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;1313;Less than 100 DM;more than 6 years;1;None;4;20;Ownership;1;Skilled;1;Yes;male;single;1;[188, 555, 228, 632, 964, 67, 836, 931, 708, 12, 610, 550, 167, 934]
430;18;Critical Account / Other Credits Existing at Other Bank;Repairs;1190;Less than 100 DM;Unemployed;2;None;4;55;Free Housing;3;Unemployed / Unskilled  - Non-Resident;2;Yes;female;divorced/separated/married;2;[90, 263, 448, 259, 396, 849, 967, 590, 33, 94, 91, 754, 584, 680]
431;5;Existing Credits Paid Back Duly Till Now;Business;3448;Less than 100 DM;4-6 years;1;None;4;74;Ownership;1;Unskilled - Resident;1;Yes;male;single;1;[186, 756, 536, 554, 163, 606, 0, 187, 330, 846, 917, 774, 629, 779]
432;24;Existing Credits Paid Back Duly Till Now;Used car;11328;Less than 100 DM;1-3 years;2;Co-applicant;3;29;Ownership;2;Highly Skilled;1;Yes;male;single;2;[763, 236, 496, 736, 402, 136, 17, 771, 180, 895, 684, 525, 291, 450]
433;6;Critical Account / Other Credits Existing at Other Bank;Furniture/Equipment;1872;Less than 100 DM;Unemployed;4;None;4;36;Free Housing;3;Highly Skilled;1;Yes;male;single;1;[663, 195, 720, 45, 128, 711, 103, 747, 362, 92, 238, 349, 519, 586]
434;24;Critical Account / Other Credits Existing at Other Bank;Repairs;2058;Less than 100 DM;1-3 years;4;None;2;33;Ownership;2;Skilled;1;Yes;male;divorced/separated;1;[535, 577, 423, 602, 862, 172, 327, 974, 729, 414, 321, 855, 15, 169]
435;9;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;2136;Less than 100 DM;1-3 years;3;None;2;25;Ownership;1;Skilled;1;Yes;male;single;1;[52, 435, 661, 821, 39, 741, 713, 810, 254, 41, 762, 964, 647, 313]
436;12;Existing Credits Paid Back Duly Till Now;Radio/TV;1484;No Savings Account;1-3 years;2;None;1;25;Ownership;1;Skilled;1;Yes;male;married/widowed;2;[661, 434, 52, 254, 821, 41, 810, 647, 39, 964, 673, 67, 741, 424]
437;6;Existing Credits Paid Back Duly Till Now;Repairs;660;500-1000 DM;4-6 years;2;None;4;23;Rented;1;Unskilled - Resident;1;Yes;male;married/widowed;1;[309, 905, 363, 540, 660, 203, 122, 979, 752, 513, 721, 47, 864, 104]
438;24;Critical Account / Other Credits Existing at Other Bank;New car;1287;More than 1000 DM;more than 6 years;4;None;4;37;Ownership;2;Skilled;1;Yes;female;divorced/separated/married;1;[546, 729, 592, 267, 862, 172, 904, 790, 256, 602, 654, 537, 433, 327]
439;42;Critical Account / Other Credits Existing at Other Bank;Repairs;3394;Less than 100 DM;Unemployed;4;Co-applicant;4;65;Ownership;2;Unemployed / Unskilled  - Non-Resident;1;Yes;male;single;1;[62, 487, 541, 465, 678, 213, 838, 237, 13, 179, 781, 784, 83, 715]
440;12;All Credits at This Bank Paid Back Duly;Business;609;Less than 100 DM;less than 1 year;4;None;1;26;Ownership;1;Unemployed / Unskilled  - Non-Resident;1;Yes;female;divorced/separated/married;2;[576, 171, 243, 424, 647, 389, 690, 480, 722, 936, 548, 458, 821, 276]
441;12;Existing Credits Paid Back Duly Till Now;New car;1884;Less than 100 DM;more than 6 years;4;None;4;39;Ownership;1;Highly Skilled;1;Yes;male;single;1;[699, 641, 478, 649, 765, 126, 443, 204, 26, 903, 947, 656, 532, 361]
442;12;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;1620;Less than 100 DM;1-3 years;2;Co-applicant;3;30;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;1;[49, 129, 874, 857, 257, 421, 916, 483, 66, 125, 526, 388, 923, 127]
443;20;Delay in Paying Off in the Past;Used car;2629;Less than 100 DM;1-3 years;2;None;3;29;Ownership;2;Skilled;1;Yes;male;single;1;[841, 366, 174, 694, 50, 279, 692, 620, 558, 235, 408, 557, 338, 323]
444;12;Existing Credits Paid Back Duly Till Now;Education;719;Less than 100 DM;more than 6 years;4;None;4;41;Ownership;1;Unskilled - Resident;2;Yes;male;single;2;[656, 126, 649, 529, 478, 532, 26, 641, 765, 440, 699, 27, 903, 204]
445;48;Critical Account / Other Credits Existing at Other Bank;Furniture/Equipment;5096;Less than 100 DM;1-3 years;2;None;3;30;Ownership;1;Highly Skilled;1;Yes;female;divorced/separated/married;2;[145, 116, 569, 36, 968, 706, 667, 255, 332, 677, 945, 981, 616, 789]
446;9;Critical Account / Other Credits Existing at Other Bank;Education;1244;No Savings Account;more than 6 years;4;None;4;41;Rented;2;Unskilled - Resident;1;Yes;female;divorced/separated/married;1;[250, 725, 875, 215, 26, 856, 204, 27, 649, 957, 478, 126, 146, 641]
447;36;Existing Credits Paid Back Duly Till Now;New car;1842;Less than 100 DM;less than 1 year;4;None;4;34;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;2;[460, 910, 98, 370, 164, 68, 776, 882, 571, 239, 628, 778, 392, 893]
